"Close","Open","Volume","RSI","MACD","Signal","SMA20","EMA20","Target"
386.475006103516,382.420989990234,14188900,47.3370127417515,-0.823187736922171,-2.12075421625448,368.664051818848,383.794389308812,0
383.157989501953,386.118011474609,11641300,46.1002672609289,-0.750194010170946,-1.84664217503777,369.068351745605,383.733779803396,0
358.4169921875,382.962005615234,26456900,38.1037414056568,-1.20231431279295,-1.71777660258881,369.01360168457,381.322657173311,0
358.345001220703,358.591003417969,15585700,38.0830411832237,-1.54879079591882,-1.68397944125481,370.487551879883,379.134308987348,0
347.27099609375,358.610992431641,18127500,34.9387274560537,-2.04308750956083,-1.75580105491601,371.825601196289,376.099707759387,1
354.704010009766,347.486999511719,11272500,38.6029883824272,-2.25326740921983,-1.85529432577678,373.056851196289,374.062022259423,0
352.989013671875,354.777008056641,13033000,38.0702276027534,-2.43246107436471,-1.97072767549436,373.896951293945,372.055069060609,1
357.618011474609,353.214996337891,7845880,40.458794472716,-2.4469638973505,-2.06597491986559,374.130851745605,370.680111195275,0
335.591003417969,357.088989257812,18192700,33.7818910220326,-2.91555751998973,-2.23589143989042,372.659101867676,367.33829140696,1
345.304992675781,335.709014892578,30177900,38.5946607692777,-3.04180712169481,-2.3970745762513,371.846250915527,365.239882003991,0
338.321014404297,345.009002685547,12545400,36.5384914829764,-3.26530592650387,-2.57072084630181,370.647351074219,362.67618032783,0
325.748992919922,338.649993896484,16677200,33.1180417864427,-3.6922579998368,-2.79502827700881,368.007350158691,359.1593053366,1
325.891998291016,326.075012207031,8603620,33.1946500742297,-3.99100451954977,-3.034223525517,364.78125,355.990990379878,1
327.553985595703,325.569000244141,12948500,34.1388331950364,-4.14888603055022,-3.25715602652365,361.115449523926,353.282704209957,1
330.492004394531,327.161010742188,15655500,35.8644925726945,-4.16249426220195,-3.43822367365931,357.901399230957,351.112161370392,1
339.485992431641,330.683013916016,19817200,40.9639650831521,-3.91943410888232,-3.53446576070391,355.747898864746,350.004907185749,1
349.290008544922,339.4580078125,18797000,46.0039061430511,-3.45697021209087,-3.5189666509813,354.024499511719,349.936821600909,0
342.415008544922,349.817993164062,16834200,43.2176394215533,-3.21426682677437,-3.45802668613992,351.573150634766,349.220458452719,1
345.488006591797,342.153991699219,8535470,44.8261917923658,-2.91633592475872,-3.34968853386368,349.370251464844,348.864986846917,1
363.264007568359,345.376007080078,24205600,53.1023584805175,-2.23923510143275,-3.12759784737749,348.391201782227,350.236322153721,1
366.924011230469,362.265014648438,30450100,54.6119852669636,-1.60120601727418,-2.82231948135683,347.413652038574,351.825625875316,1
367.695007324219,365.856994628906,15838900,54.9410301867195,-1.06763462665016,-2.4713825104155,346.640502929688,353.336995537116,1
423.561004638672,367.984985351562,45783200,71.2213871119028,0.602720138763813,-1.85656198057963,349.897703552246,360.024996403931,0
420.734985351562,427.273010253906,58945000,69.8465853136203,1.80830893350759,-1.12358779776219,353.017202758789,365.806900113229,0
397.817993164062,418.4169921875,29589200,59.7706609119819,2.22306387121334,-0.454257463967085,355.544552612305,368.85557564188,0
376.132995605469,399.649993896484,15727500,52.1102921958666,2.05816180825722,0.0482263904777762,356.61600189209,369.54866325746,1
387.881988525391,374.730010986328,11905600,55.4423308311814,2.15438916593156,0.469458945568533,358.360650634766,371.294694235358,0
387.407989501953,388.348999023438,41518800,55.2752371818267,2.19358352579215,0.814283861613257,359.850149536133,372.829293784558,0
375.197998046875,387.785003662109,32222500,51.0104241611431,1.94121896380328,1.03967088205126,361.830499267578,373.054884666683,1
380.554992675781,373.89599609375,18931800,52.7335343257045,1.83447345366008,1.19863139637303,363.592999267578,373.76918066755,0
357.839996337891,380.307006835938,25233200,45.4358631391039,1.24931991168897,1.20876909943622,364.568948364258,372.252115493297,0
350.847991943359,357.878997802734,29850100,43.4429409862209,0.624740248611033,1.09196332927118,365.82389831543,370.21362753616,1
352.920013427734,351.60400390625,15273000,44.2237026444149,0.169598768978885,0.90749041721272,367.175299072266,368.566616668691,1
367.572998046875,353.174987792969,15151600,49.5298883820851,0.126791004939442,0.751350534758064,369.176249694824,368.471986323756,1
376.901000976562,366.947998046875,30930100,52.6200061463858,0.293325028127267,0.659745433431905,371.496699523926,369.274749624023,0
375.347991943359,376.885986328125,25442200,52.0486326626527,0.386550714753597,0.605106489696243,373.289799499512,369.853153654436,0
368.369995117188,376.019012451172,18601700,49.4503862030919,0.304855413747873,0.545056274506569,374.243798828125,369.711900460412,1
369.670013427734,370.502014160156,8748030,49.9516475192268,0.265373563901861,0.489119732385628,375.606549072266,369.707911219205,1
376.446990966797,369.373992919922,22946500,52.5908906796474,0.377264353351814,0.466748656578865,377.154498291016,370.349728338023,0
375.490997314453,376.152008056641,15375600,52.172927073512,0.439811619894148,0.461361249241922,377.76584777832,370.839373002445,1
378.046997070312,375.510009765625,9194440,53.2428836278916,0.538364493993071,0.476761898192151,378.321997070312,371.525813389861,1
379.244995117188,378.248992919922,11763000,53.7649713233111,0.634683195880559,0.508346157729833,378.899496459961,372.260973554368,1
381.315002441406,379.25,12364100,54.7060721989889,0.746606000660388,0.555998126315944,376.787196350098,373.123262019801,0
375.010009765625,381.721984863281,13340100,51.2821147416853,0.691247945889972,0.58304809023075,374.500947570801,373.302952281308,0
369.60400390625,375.717987060547,14529600,48.4803285594465,0.524822692599791,0.571403010704558,373.09024810791,372.950671483683,1
376.85400390625,369.441986083984,15181800,52.2482716614892,0.543026884962194,0.565727785556085,373.126298522949,373.32241742869,0
